experiment_id,gene,missing_all,missing_labelled,missing_interior,missing_boundary,largest_connected_gap,slab_score,intensity_score
357099,B4galt3,0.477744,0.163011,0.152114,0.231842,4343,0.469877,0.165797
77869814,Ssr2,0.405226,0.138296,0.127681,0.205346,2716,1,0.225826
70562124,Rxfp1,0.344715,0.0223479,0.0176804,0.0518303,961,0.0502813,0.253465
73520985,Hpcal4,0.340955,0.0321161,0.0261066,0.0700755,1409,0.0537114,0.294687
75042269,Lcat,0.374509,0.0475706,0.0394819,0.0986636,1658,0.742188,0.150129
2019,Adrm1,0.423302,0.0540828,0.0381941,0.154445,1145,0.0543993,0.228651
74819259,Copg2,0.405715,0.0631522,0.0556537,0.110517,896,0.994764,0.313946
26,Cdca7,0.438102,0.0591655,0.0430143,0.161185,1708,0.1,0.130949
227161,Acadvl,0.458613,0.0790514,0.0589469,0.206043,1890,1,0.24505
74957923,0610010F05Rik,0.341332,0.0644388,0.0592229,0.0973852,1409,0.557247,0.148921
77925095,Fzd4,0.458098,0.183913,0.18179,0.197327,2779,1,0.199128
2093,Chga,0.427783,0.0421227,0.0320676,0.105636,1662,0.0484482,0.1619
71924353,Clmp,0.400035,0.109547,0.107149,0.124695,1179,1,0.420627
73635816,Pacs2,0.373611,0.0953478,0.0909593,0.123068,1658,0.626748,0.252201
74658000,Apba1,0.371,0.0406773,0.0328035,0.0904126,1683,0.0666999,0.292554
71670489,Maob,0.37304,0.0821487,0.07074,0.154213,931,0.612898,0.293324
558,Hgf,0.460597,0.11004,0.0966442,0.194654,3498,0.789522,0.0506342
77280335,Arpc1a,0.394217,0.0618657,0.0569967,0.0926206,1145,1,0.182212
72472748,Fam43a,0.389817,0.125304,0.122659,0.14201,2844,0.821569,0.314773
77887878,Ano6,0.461764,0.195333,0.192166,0.21534,2715,1,0.263575
73992938,Cyld,0.413906,0.133643,0.128933,0.163393,2840,0.696012,0.138875
70743841,Mrpl12,0.37014,0.0558141,0.04226,0.141429,1889,0.0511108,0.19685
73636035,Scrt1,0.363575,0.0403755,0.0332266,0.0855317,1658,0.233438,0.186678
72103830,Cygb,0.355039,0.026954,0.0210656,0.0641488,1145,0.0450387,0.346677
74658085,Msn,0.375394,0.0827999,0.0786695,0.10889,1361,1,0.392191
2177,Efemp2,0.4541,0.0523039,0.0353792,0.15921,1409,0.0525209,0.594681
72128751,Zdhhc2,0.411326,0.0743976,0.063528,0.143056,1409,1,0.641945
70743898,2010300C02Rik,0.414666,0.0527645,0.040825,0.128181,828,1,0.226764
74047917,Azin1,0.392321,0.0645341,0.0560216,0.118303,2325,0.699203,0.284808
74988753,Gm973,0.373097,0.0925046,0.0870221,0.127135,1718,0.982581,0.207869
74511966,Gm520,0.355278,0.0257628,0.0202009,0.0608948,1098,0.0441329,0.0722547
645,Llgl1,0.415513,0.0682825,0.0498215,0.184893,1661,0.0930564,0.682067
2173,E2f6,0.416461,0.0246827,0.00901498,0.123649,389,0.0532428,0.124681
72079931,Abat,0.391323,0.027097,0.0210656,0.0651947,1145,0.0450387,0.173004
77413688,Vldlr,0.346171,0.0538604,0.0482025,0.0895991,1658,0.386613,0.237178
2249,Galm,0.472741,0.166632,0.163649,0.185474,3238,1,0.0714887
74272893,Rgs6,0.421814,0.059642,0.0503551,0.118303,1890,0.717187,0.0930992
74581421,Allc,0.351054,0.0403437,0.035416,0.0714701,1145,1,0.320331
75080249,Aif1,0.365,0.0593879,0.0529124,0.100291,1890,0.687119,0.110989
1894,Zfp191,0.430683,0.0565606,0.0418736,0.149332,1410,1,0.205831
73592527,Celf4,0.368327,0.0312267,0.0235125,0.0799535,1137,0.145379,0.265151
1711,F2r,0.380754,0.110262,0.108069,0.124114,3118,1,0.0681234
79591633,Trhr,0.408935,0.129068,0.130257,0.121557,2780,0.955068,0.158895
73636087,Inhbb,0.428649,0.12632,0.125419,0.132016,2865,1,0.468499
77371857,Gng7,0.448709,0.138312,0.125989,0.216153,1565,0.792947,0.172586
